gene_ID	CV.TPM	CV.logTPM	rank
Crpow_TRINITY_DN103456_c2_g1	2.105211340862649	1.8042688412202372	36633
Crpow_TRINITY_DN103465_c0_g1	1.421927025589768	1.1143631902452635	34019
Crpow_TRINITY_DN103508_c0_g1	2.38083755121301	2.1831702407635087	37360
Crpow_TRINITY_DN103547_c1_g1	1.1593464402298361	0.8726433431064942	31694
Crpow_TRINITY_DN103553_c0_g1	2.227550188844674	1.679640852519958	36378
Crpow_TRINITY_DN103586_c0_g1	1.3176706481183214	0.9887665456053772	32919
Crpow_TRINITY_DN103601_c1_g2	2.7888313795211133	2.751083200130753	38225
Crpow_TRINITY_DN103614_c0_g3	0.9918332834117521	0.8667198396714519	31613
Crpow_TRINITY_DN10362_c4_g1	0.9462285870428113	0.84651444086839	31364
Crpow_TRINITY_DN103633_c1_g1	2.3022275005802237	1.94409741498008	36911
Crpow_TRINITY_DN10365_c0_g1	1.3063203889394963	1.0286896911651042	33334
